#Cut at hv = 2825.2 eV	
#E kin (ev)	Intensity
2350.0	0.0352141
2350.2	0.0348015
2350.4	0.0344749
2350.6	0.0352128
2350.8	0.0362062
2351.0	0.0356721
2351.2	0.0361442
2351.4	0.035192
2351.6	0.034885
2351.8	0.0359029
2352.0	0.0363345
2352.2	0.0339783
2352.4	0.0363891
2352.6	0.0348365
2352.8	0.0367464
2353.0	0.0363382
2353.2	0.0351699
2353.4	0.03582
2353.6	0.0362098
2353.8	0.0356782
2354.0	0.035095
2354.2	0.0340636
2354.4	0.0356125
2354.6	0.0356684
2354.8	0.0348359
2355.0	0.0361785
2355.2	0.0356776
2355.4	0.0365088
2355.6	0.0366789
2355.8	0.0363363
2356.0	0.0365917
2356.2	0.0383819
2356.4	0.0388638
2356.6	0.0382493
2356.8	0.0380731
2357.0	0.0386434
2357.2	0.0389982
2357.4	0.0391216
2357.6	0.0400247
2357.8	0.0402948
2358.0	0.0401199
2358.2	0.0407325
2358.4	0.0399572
2358.6	0.0392745
2358.8	0.0393936
2359.0	0.0387146
2359.2	0.0393193
2359.4	0.0381474
2359.6	0.0376261
2359.8	0.0385654
2360.0	0.0384887
2360.2	0.0381645
2360.4	0.0384856
2360.6	0.0391554
2360.8	0.0384169
2361.0	0.0380178
2361.2	0.0375654
2361.4	0.0374401
2361.6	0.0382873
2361.8	0.038043
2362.0	0.0386502
2362.2	0.0390602
2362.4	0.0363345
2362.6	0.036674
2362.8	0.0369539
2363.0	0.0372817
2363.2	0.0374892
2363.4	0.0376476
2363.6	0.0370865
2363.8	0.036289
2364.0	0.0353301
2364.2	0.0350919
2364.4	0.0365457
2364.6	0.035774
2364.8	0.0355382
2365.0	0.0352601
2365.2	0.0350189
2365.4	0.0341612
2365.6	0.0343767
2365.8	0.0339021
2366.0	0.0339795
2366.2	0.0333152
2366.4	0.0333017
2366.6	0.032468
2366.8	0.0320101
2367.0	0.0332373
2367.2	0.032503
2367.4	0.0326651
2367.6	0.0324453
2367.8	0.0325626
2368.0	0.0322483
2368.2	0.0322869
2368.4	0.0323084
2368.6	0.0315828
2368.8	0.0307896
2369.0	0.0304833
2369.2	0.0297435
2369.4	0.0304274
2369.6	0.0298522
2369.8	0.0307092
2370.0	0.0311444
2370.2	0.0293334
2370.4	0.0287465
2370.6	0.0284254
2370.8	0.0280804
2371.0	0.0284641
2371.2	0.0289417
2371.4	0.028806
2371.6	0.0297834
2371.8	0.0293432
2372.0	0.0297128
2372.2	0.0306146
2372.4	0.0337296
2372.6	0.0354541
2372.8	0.0368035
2373.0	0.0394243
2373.2	0.0392297
2373.4	0.0400118
2373.6	0.0391658
2373.8	0.0368931
2374.0	0.0364401
2374.2	0.0367317
2374.4	0.0363351
2374.6	0.0374997
2374.8	0.0370804
2375.0	0.0367047
2375.2	0.0362148
2375.4	0.0323907
2375.6	0.030579
2375.8	0.0274579
2376.0	0.0265604
2376.2	0.0254731
2376.4	0.0238254
2376.6	0.0235835
2376.8	0.0225773
2377.0	0.0226454
2377.2	0.0222151
2377.4	0.0225153
2377.6	0.0210081
2377.8	0.0219781
2378.0	0.0210714
2378.2	0.0211315
2378.4	0.0213832
2378.6	0.0215717
2378.8	0.0229045
2379.0	0.0229444
2379.2	0.0225196
2379.4	0.0223814
2379.6	0.0237106
2379.8	0.0250471
2380.0	0.0268305
2380.2	0.0277759
2380.4	0.0328517
2380.6	0.0391493
2380.8	0.0478803
2381.0	0.0622557
2381.2	0.0786877
2381.4	0.0969824
2381.6	0.118071
2381.8	0.136043
2382.0	0.145305
2382.2	0.143354
2382.4	0.139885
2382.6	0.134388
2382.8	0.131486
2383.0	0.132856
2383.2	0.13821
2383.4	0.142798
2383.6	0.142567
2383.8	0.140638
2384.0	0.131882
2384.2	0.119934
2384.4	0.103311
2384.6	0.0842989
2384.8	0.0690143
2385.0	0.0545873
2385.2	0.0446966
2385.4	0.0385765
2385.6	0.0328524
2385.8	0.0288269
2386.0	0.0273173
2386.2	0.0254541
2386.4	0.0242576
2386.6	0.0230052
2386.8	0.0231378
2387.0	0.0225693
2387.2	0.0223489
2387.4	0.0224238
2387.6	0.0221868
2387.8	0.0213151
2388.0	0.0209774
2388.2	0.0209946
2388.4	0.0203083
2388.6	0.0213937
2388.8	0.0206214
2389.0	0.0211027
2389.2	0.0206791
2389.4	0.0209062
2389.6	0.0205066
2389.8	0.0211665
2390.0	0.0216564
2390.2	0.0220941
2390.4	0.0210959
2390.6	0.0221838
2390.8	0.0216908
2391.0	0.0211254
2391.2	0.0210339
2391.4	0.0209087
2391.6	0.0211217
2391.8	0.020886
2392.0	0.0208964
2392.2	0.0213421
2392.4	0.0210965
2392.6	0.0197465
2392.8	0.0205593
2393.0	0.0207319
2393.2	0.0210671
2393.4	0.0205035
2393.6	0.0197238
2393.8	0.0201873
2394.0	0.0197257
2394.2	0.0204617
2394.4	0.0208608
2394.6	0.0207202
2394.8	0.020916
2395.0	0.0200363
2395.2	0.0200854
2395.4	0.019501
2395.6	0.0198558
2395.8	0.0206281
2396.0	0.0198073
2396.2	0.0204869
2396.4	0.0202622
2396.6	0.0202591
2396.8	0.0203641
2397.0	0.0189644
2397.2	0.0195065
2397.4	0.0196986
2397.6	0.0193315
2397.8	0.019213
2398.0	0.0196219
2398.2	0.0196287
2398.4	0.0196551
2398.6	0.01841
2398.8	0.0199197
2399.0	0.0203598
2399.2	0.020614
2399.4	0.0200823
2399.6	0.0200363
2399.8	0.0198828
2400.0	0.020218
2400.2	0.0201978
2400.4	0.020048
2400.6	0.0198632
2400.8	0.0195888
2401.0	0.0201726
2401.2	0.020048
2401.4	0.0210867
2401.6	0.0201241
2401.8	0.0194089
2402.0	0.0200903
2402.2	0.0202303
2402.4	0.0202843
2402.6	0.0211211
2402.8	0.0207245
2403.0	0.0203764
2403.2	0.0208356
2403.4	0.0203948
2403.6	0.0204562
2403.8	0.0205115
2404.0	0.0201419
2404.2	0.0196477
2404.4	0.0199239
2404.6	0.0197699
2404.8	0.0200025
2405.0	0.0192615
2405.2	0.0193825
