#Cut at hv = 2825.2 eV	
#E kin (ev)	Intensity
2378.8	0.0229045
2379.0	0.0229444
2379.2	0.0225196
2379.4	0.0223814
2379.6	0.0237106
2379.8	0.0250471
2380.0	0.0268305
2380.2	0.0277759
2380.4	0.0328517
2380.6	0.0391493
2380.8	0.0478803
2381.0	0.0622557
2381.2	0.0786877
2381.4	0.0969824
2381.6	0.118071
2381.8	0.136043
2382.0	0.145305
2382.2	0.143354
2382.4	0.139885
2382.6	0.134388
2382.8	0.131486
2383.0	0.132856
2383.2	0.13821
2383.4	0.142798
2383.6	0.142567
2383.8	0.140638
2384.0	0.131882
2384.2	0.119934
2384.4	0.103311
2384.6	0.0842989
2384.8	0.0690143
2385.0	0.0545873
2385.2	0.0446966
2385.4	0.0385765
2385.6	0.0328524
2385.8	0.0288269
2386.0	0.0273173
2386.2	0.0254541
2386.4	0.0242576
2386.6	0.0230052
2386.8	0.0231378
2387.0	0.0225693
2387.2	0.0223489
2387.4	0.0224238
2387.6	0.0221868
2387.8	0.0213151
2388.0	0.0209774
2388.2	0.0209946
2388.4	0.0203083
2388.6	0.0213937
2388.8	0.0206214
2389.0	0.0211027
2389.2	0.0206791
2389.4	0.0209062
2389.6	0.0205066
2389.8	0.0211665
2390.0	0.0216564
2390.2	0.0220941
2390.4	0.0210959
2390.6	0.0221838
2390.8	0.0216908
2391.0	0.0211254
2391.2	0.0210339
2391.4	0.0209087
2391.6	0.0211217
2391.8	0.020886
2392.0	0.0208964
2392.2	0.0213421
2392.4	0.0210965
2392.6	0.0197465
2392.8	0.0205593
2393.0	0.0207319
2393.2	0.0210671
2393.4	0.0205035
2393.6	0.0197238
2393.8	0.0201873
2394.0	0.0197257
2394.2	0.0204617
2394.4	0.0208608
2394.6	0.0207202
2394.8	0.020916
2395.0	0.0200363
2395.2	0.0200854
2395.4	0.019501
2395.6	0.0198558
2395.8	0.0206281
2396.0	0.0198073
2396.2	0.0204869
2396.4	0.0202622
2396.6	0.0202591
2396.8	0.0203641
2397.0	0.0189644
2397.2	0.0195065
2397.4	0.0196986
2397.6	0.0193315
2397.8	0.019213
2398.0	0.0196219
2398.2	0.0196287
2398.4	0.0196551
2398.6	0.01841
2398.8	0.0199197
2399.0	0.0203598
2399.2	0.020614
2399.4	0.0200823
2399.6	0.0200363
2399.8	0.0198828
2400.0	0.020218
2400.2	0.0201978
2400.4	0.020048
2400.6	0.0198632
2400.8	0.0195888
2401.0	0.0201726
2401.2	0.020048
2401.4	0.0210867
2401.6	0.0201241
2401.8	0.0194089
2402.0	0.0200903
2402.2	0.0202303
2402.4	0.0202843
2402.6	0.0211211
2402.8	0.0207245
2403.0	0.0203764
2403.2	0.0208356
2403.4	0.0203948
2403.6	0.0204562
2403.8	0.0205115
2404.0	0.0201419
2404.2	0.0196477
2404.4	0.0199239
2404.6	0.0197699
2404.8	0.0200025
2405.0	0.0192615
2405.2	0.0193825
