#Cut at hv = 3610.75 eV	
#E kin (eV)	Intensity
2950.0	0.0183307
2950.1	0.0182908
2950.2	0.0183943
2950.3	0.0186494
2950.4	0.0187378
2950.5	0.0187141
2950.6	0.0185386
2950.7	0.0185523
2950.8	0.0186102
2950.9	0.0185338
2951.0	0.0184674
2951.1	0.018455
2951.2	0.0184715
2951.3	0.0186265
2951.4	0.0187394
2951.5	0.018657
2951.6	0.0182962
2951.7	0.0184312
2951.8	0.0185219
2951.9	0.0187537
2952.0	0.0187841
2952.1	0.0187369
2952.2	0.0185347
2952.3	0.0186026
2952.4	0.0185406
2952.5	0.0185247
2952.6	0.0184829
2952.7	0.0184545
2952.8	0.0182056
2952.9	0.0182895
2953.0	0.0185296
2953.1	0.0188265
2953.2	0.0187621
2953.3	0.0184935
2953.4	0.0184295
2953.5	0.0184974
2953.6	0.0186422
2953.7	0.0187903
2953.8	0.0187732
2953.9	0.018641
2954.0	0.0187309
2954.1	0.0187957
2954.2	0.0185201
2954.3	0.0184965
2954.4	0.0186677
2954.5	0.0186462
2954.6	0.0187815
2954.7	0.0187584
2954.8	0.0188031
2954.9	0.0188572
2955.0	0.0186448
2955.1	0.0183859
2955.2	0.0186494
2955.3	0.0187323
2955.4	0.0186822
2955.5	0.0189734
2955.6	0.0189853
2955.7	0.0189162
2955.8	0.0189645
2955.9	0.0190179
2956.0	0.0190294
2956.1	0.0186272
2956.2	0.0184873
2956.3	0.0186683
2956.4	0.0189543
2956.5	0.0190604
2956.6	0.0188223
2956.7	0.0186322
2956.8	0.0185541
2956.9	0.0186846
2957.0	0.0187213
2957.1	0.0188952
2957.2	0.0185642
2957.3	0.0186274
2957.4	0.018804
2957.5	0.0190046
2957.6	0.0192438
2957.7	0.019283
2957.8	0.0191994
2957.9	0.019059
2958.0	0.0189556
2958.1	0.0189583
2958.2	0.0189225
2958.3	0.0189146
2958.4	0.0188696
2958.5	0.0190708
2958.6	0.0192348
2958.7	0.0191378
2958.8	0.0188373
2958.9	0.0185655
2959.0	0.0188626
2959.1	0.0190929
2959.2	0.0191604
2959.3	0.0190243
2959.4	0.0188801
2959.5	0.0188224
2959.6	0.0187726
2959.7	0.0189804
2959.8	0.0191807
2959.9	0.0189542
2960.0	0.0188074
2960.1	0.0189007
2960.2	0.0188381
2960.3	0.0188174
2960.4	0.0190906
2960.5	0.0189649
2960.6	0.0189853
2960.7	0.0190274
2960.8	0.01896
2960.9	0.0187125
2961.0	0.018794
2961.1	0.0188485
2961.2	0.0189541
2961.3	0.0188962
2961.4	0.0190041
2961.5	0.0191376
2961.6	0.0189179
2961.7	0.0189154
2961.8	0.0188796
2961.9	0.0189591
2962.0	0.0190472
2962.1	0.0190202
2962.2	0.0190472
2962.3	0.0190174
2962.4	0.0189162
2962.5	0.0190649
2962.6	0.0192434
2962.7	0.0192017
2962.8	0.0192319
2962.9	0.0193258
2963.0	0.0191946
2963.1	0.0189793
